Этап;Сценарий (Путь);Состояние (до решения);ЦБ1(пак);ЦБ2(пак);Деп(пак);Ожидаемый Доход (EV)
0;Start;[ЦБ1=100|ЦБ2=800|Деп=400|Кэш=600];1;0;5;2031.42
1;Start->Благ;[ЦБ1=150|ЦБ2=880|Деп=963|Кэш=49];-4;0;0;2092.12
1;Start->Нейт;[ЦБ1=131|ЦБ2=816|Деп=927|Кэш=49];-4;0;0;1965.79
1;Start->Нега;[ЦБ1=100|ЦБ2=760|Деп=900|Кэш=49];-2;0;0;1864.05
2;Start->Благ->Благ;[ЦБ1=70|ЦБ2=1012|Деп=973|Кэш=145];0;0;0;2264.85
2;Start->Благ->Нейт;[ЦБ1=52|ЦБ2=880|Деп=963|Кэш=145];0;0;0;2099.86
2;Start->Благ->Нега;[ЦБ1=30|ЦБ2=792|Деп=963|Кэш=145];0;0;0;1985.39
2;Start->Нейт->Благ;[ЦБ1=44|ЦБ2=938|Деп=936|Кэш=145];0;0;0;2118.31
2;Start->Нейт->Нейт;[ЦБ1=33|ЦБ2=816|Деп=927|Кэш=145];0;0;0;1970.87
2;Start->Нейт->Нега;[ЦБ1=19|ЦБ2=734|Деп=927|Кэш=145];0;0;0;1872.24
2;Start->Нега->Благ;[ЦБ1=70|ЦБ2=874|Деп=909|Кэш=97];0;0;0;2017.32
2;Start->Нега->Нейт;[ЦБ1=52|ЦБ2=760|Деп=900|Кэш=97];0;0;0;1869.90
2;Start->Нега->Нега;[ЦБ1=30|ЦБ2=684|Деп=900|Кэш=97];0;0;0;1769.74
3;Start->Благ->Благ->Благ;[ЦБ1=80|ЦБ2=1133|Деп=1021|Кэш=145];0;0;0;2380.20
3;Start->Благ->Благ->Нейт;[ЦБ1=74|ЦБ2=1022|Деп=982|Кэш=145];0;0;0;2222.98
3;Start->Благ->Благ->Нега;[ЦБ1=49|ЦБ2=951|Деп=973|Кэш=145];0;0;0;2117.91
3;Start->Благ->Нейт->Благ;[ЦБ1=60|ЦБ2=986|Деп=1011|Кэш=145];0;0;0;2202.13
3;Start->Благ->Нейт->Нейт;[ЦБ1=55|ЦБ2=889|Деп=973|Кэш=145];0;0;0;2061.56
3;Start->Благ->Нейт->Нега;[ЦБ1=37|ЦБ2=827|Деп=963|Кэш=145];0;0;0;1971.95
3;Start->Благ->Нега->Благ;[ЦБ1=34|ЦБ2=887|Деп=1011|Кэш=145];0;0;0;2077.69
3;Start->Благ->Нега->Нейт;[ЦБ1=32|ЦБ2=800|Деп=973|Кэш=145];0;0;0;1949.05
3;Start->Благ->Нега->Нега;[ЦБ1=21|ЦБ2=744|Деп=963|Кэш=145];0;0;0;1873.48
3;Start->Нейт->Благ->Благ;[ЦБ1=48|ЦБ2=1051|Деп=977|Кэш=147];0;0;0;2223.03
3;Start->Нейт->Благ->Нейт;[ЦБ1=44|ЦБ2=948|Деп=940|Кэш=147];0;0;0;2078.40
3;Start->Нейт->Благ->Нега;[ЦБ1=29|ЦБ2=882|Деп=930|Кэш=147];0;0;0;1988.71
3;Start->Нейт->Нейт->Благ;[ЦБ1=36|ЦБ2=914|Деп=967|Кэш=147];0;0;0;2064.20
3;Start->Нейт->Нейт->Нейт;[ЦБ1=33|ЦБ2=824|Деп=930|Кэш=147];0;0;0;1934.44
3;Start->Нейт->Нейт->Нега;[ЦБ1=22|ЦБ2=767|Деп=921|Кэш=147];0;0;0;1857.09
3;Start->Нейт->Нега->Благ;[ЦБ1=21|ЦБ2=823|Деп=967|Кэш=147];0;0;0;1957.28
3;Start->Нейт->Нега->Нейт;[ЦБ1=19|ЦБ2=742|Деп=930|Кэш=147];0;0;0;1837.85
3;Start->Нейт->Нега->Нега;[ЦБ1=13|ЦБ2=690|Деп=921|Кэш=147];0;0;0;1770.94
3;Start->Нега->Благ->Благ;[ЦБ1=89|ЦБ2=979|Деп=954|Кэш=99];0;0;0;2120.88
3;Start->Нега->Благ->Нейт;[ЦБ1=81|ЦБ2=883|Деп=918|Кэш=99];0;0;0;1980.68
3;Start->Нега->Благ->Нега;[ЦБ1=54|ЦБ2=822|Деп=909|Кэш=99];0;0;0;1883.46
3;Start->Нега->Нейт->Благ;[ЦБ1=66|ЦБ2=851|Деп=945|Кэш=99];0;0;0;1961.61
3;Start->Нега->Нейт->Нейт;[ЦБ1=61|ЦБ2=768|Деп=909|Кэш=99];0;0;0;1836.24
3;Start->Нега->Нейт->Нега;[ЦБ1=40|ЦБ2=714|Деп=900|Кэш=99];0;0;0;1753.83
3;Start->Нега->Нега->Благ;[ЦБ1=45|ЦБ2=766|Деп=945|Кэш=97];0;0;0;1852.93
3;Start->Нега->Нега->Нейт;[ЦБ1=41|ЦБ2=691|Деп=909|Кэш=97];0;0;0;1737.79
3;Start->Нега->Нега->Нега;[ЦБ1=27|ЦБ2=643|Деп=900|Кэш=97];0;0;0;1667.26
