t,x1,x2,d,cash,dx1,dx2,dd,V
0,100.0,800.0,400.0,600.0,-25.0,0.0,100.0,2247.0
1,50.0,1200.0,800.0,150.0,-50.0,-1200.0,-200.0,2380.0
1,100.0,1400.0,700.0,0.0,-100.0,-1400.0,-100.0,2380.0
1,25.0,1000.0,700.0,475.0,-25.0,-1000.0,-100.0,2380.0
1,100.0,1000.0,1000.0,100.0,-100.0,-1000.0,-400.0,2380.0
1,75.0,1000.0,600.0,525.0,-75.0,-1000.0,0.0,2380.0
1,50.0,1200.0,900.0,50.0,-50.0,-1200.0,-300.0,2380.0
1,75.0,1400.0,700.0,25.0,-75.0,-1400.0,-100.0,2380.0
1,75.0,1000.0,700.0,425.0,-75.0,-1000.0,-100.0,2380.0
1,0.0,1400.0,800.0,0.0,0.0,-1400.0,-200.0,2380.0
1,50.0,1000.0,800.0,350.0,-50.0,-1000.0,-200.0,2380.0
1,75.0,1000.0,800.0,325.0,-75.0,-1000.0,-200.0,2380.0
1,50.0,1000.0,900.0,250.0,-50.0,-1000.0,-300.0,2380.0
1,0.0,1000.0,700.0,500.0,0.0,-1000.0,-100.0,2380.0
1,50.0,1200.0,600.0,350.0,-50.0,-1200.0,0.0,2380.0
1,25.0,1400.0,600.0,175.0,-25.0,-1400.0,0.0,2380.0
1,50.0,1000.0,1000.0,150.0,-50.0,-1000.0,-400.0,2380.0
1,0.0,1000.0,800.0,400.0,0.0,-1000.0,-200.0,2380.0
1,25.0,1400.0,700.0,75.0,-25.0,-1400.0,-100.0,2380.0
1,0.0,1200.0,900.0,100.0,0.0,-1200.0,-300.0,2380.0
1,0.0,1000.0,900.0,300.0,0.0,-1000.0,-300.0,2380.0
1,100.0,1200.0,600.0,300.0,-100.0,-1200.0,0.0,2380.0
1,0.0,1400.0,600.0,200.0,0.0,-1400.0,0.0,2380.0
1,0.0,1200.0,1000.0,0.0,0.0,-1200.0,-400.0,2380.0
1,0.0,1000.0,1000.0,200.0,0.0,-1000.0,-400.0,2380.0
1,25.0,1200.0,800.0,175.0,-25.0,-1200.0,-200.0,2380.0
1,0.0,1400.0,700.0,100.0,0.0,-1400.0,-100.0,2380.0
1,100.0,1000.0,700.0,400.0,-100.0,-1000.0,-100.0,2380.0
1,25.0,1200.0,900.0,75.0,-25.0,-1200.0,-300.0,2380.0
1,100.0,1000.0,800.0,300.0,-100.0,-1000.0,-200.0,2380.0
1,0.0,1000.0,600.0,600.0,0.0,-1000.0,0.0,2380.0
1,0.0,1200.0,800.0,200.0,0.0,-1200.0,-200.0,2380.0
1,25.0,1000.0,600.0,575.0,-25.0,-1000.0,0.0,2380.0
1,75.0,1200.0,800.0,125.0,-75.0,-1200.0,-200.0,2380.0
1,50.0,1400.0,600.0,150.0,-50.0,-1400.0,0.0,2380.0
1,50.0,1000.0,600.0,550.0,-50.0,-1000.0,0.0,2380.0
1,75.0,1200.0,900.0,25.0,-75.0,-1200.0,-300.0,2380.0
1,75.0,1400.0,600.0,125.0,-75.0,-1400.0,0.0,2380.0
1,50.0,1400.0,700.0,50.0,-50.0,-1400.0,-100.0,2380.0
1,50.0,1000.0,700.0,450.0,-50.0,-1000.0,-100.0,2380.0
1,100.0,1000.0,600.0,500.0,-100.0,-1000.0,0.0,2380.0
1,75.0,1000.0,900.0,225.0,-75.0,-1000.0,-300.0,2380.0
1,75.0,1200.0,600.0,325.0,-75.0,-1200.0,0.0,2380.0
1,75.0,1000.0,1000.0,125.0,-75.0,-1000.0,-400.0,2380.0
1,25.0,1000.0,800.0,375.0,-25.0,-1000.0,-200.0,2380.0
1,75.0,1200.0,700.0,225.0,-75.0,-1200.0,-100.0,2380.0
1,25.0,1000.0,900.0,275.0,-25.0,-1000.0,-300.0,2380.0
1,25.0,1200.0,600.0,375.0,-25.0,-1200.0,0.0,2380.0
1,25.0,1000.0,1000.0,175.0,-25.0,-1000.0,-400.0,2380.0
1,25.0,1200.0,700.0,275.0,-25.0,-1200.0,-100.0,2380.0
1,100.0,1200.0,700.0,200.0,-100.0,-1200.0,-100.0,2380.0
